"Name","Votes","inducted","yearID","vote_percentage"
"Carlos Beltrán",358,"Y",2026,84.2
"Andruw Jones",333,"Y",2026,78.4
"Chase Utley",251,"N",2026,59.1
"Andy Pettitte",206,"N",2026,48.5
"Félix Hernández",196,"N",2026,46.1
"Alex Rodriguez",170,"N",2026,40
"Manny Ramirez",165,"N",2026,38.8
"Bobby Abreu",131,"N",2026,30.8
"Jimmy Rollins",108,"N",2026,25.4
"Cole Hamels",101,"N",2026,23.8
"Dustin Pedroia",88,"N",2026,20.7
"Mark Buehrle",85,"N",2026,20
"Omar Vizquel",78,"N",2026,18.4
"David Wright",63,"N",2026,14.8
"Francisco Rodríguez",50,"N",2026,11.8
"Torii Hunter",37,"Y",2026,8.7
"Ryan Braun",15,"N",2026,3.5
"Edwin Encarnación",6,"N",2026,1.4
"Shin-Soo Choo",3,"N",2026,0.7
"Hunter Pence",2,"N",2026,0.5
"Matt Kemp",2,"N",2026,0.5
"Rick Porcello",2,"N",2026,0.5
"Nick Markakis",1,"N",2026,0.2
"Alex Gordon",1,"N",2026,0.2
"Daniel Murphy",0,"N",2026,0
"Howie Kendrick",0,"N",2026,0
"Gio Gonzalez",0,"N",2026,0
